lambda,m,0,1,2,3,4
0.3,0.01,1158.937,1027.4233,76.25293,142.39453,0.0
0.3,0.2,934.0029,828.30225,52.557617,121.3457,245.87598
0.3,0.5,989.03467,924.6929,133.91016,51.924805,31.017578
0.7,0.01,697.1538,622.4175,7.8496094,225.53027,581.5469
0.7,0.2,506.05615,419.06543,0.0,16.492188,718.2451
0.7,0.5,466.2998,442.31348,21.732422,78.41113,735.4697
1.1,0.01,117.703125,92.94629,149.14844,69.34668,1121.6309
1.1,0.2,318.36572,287.7041,14.324219,102.0791,911.5918
1.1,0.5,252.61719,224.63965,18.017578,120.83789,977.0674
1.5,0.01,171.23828,56.655273,45.282227,0.0,1127.4219
1.5,0.2,177.64014,163.73438,16.77539,115.41113,1069.0879
1.5,0.5,54.79248,46.24121,24.847656,151.45996,1190.1201
1.8,0.01,2.0981445,26.30664,13.394531,160.20117,1348.2461
1.8,0.2,0.0,0.0,25.36914,152.95996,1253.1191
1.8,0.5,42.44629,48.677734,18.467773,120.59375,1224.2148
